Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,E+ Business Partners Program,NorthWestern Energy,Open when checked,"Ongoing, subject to funding and program rules",Montana,,,NorthWestern Energy business customers,Implementation,"energy efficiency, commercial buildings, operations cost","Cuts operating costs for rural lodging, restaurants, outfitters, visitor centers, and community facilities.","Cuts operating costs for rural lodging, restaurants, outfitters, visitor centers, and community facilities",Varies by eligible energy project,Preapproval and program rules apply,https://www.northwesternenergy.com/docs/default-source/default-document-library/account-services/business-services/e-business-partners-program-desciption.pdf,2026-06-09,RERC-FND-0250
Funding,Opportunity Appalachia,Appalachian Community Capital,Recurring,Round-based; verify current application window,Multi-State,,,Investable community and real estate projects sponsored by local partners,Mixed,"downtown development, heritage tourism, recreation, real estate, capital stacking",Helps rural recreation economy projects become financeable and investor-ready.,Helps rural recreation economy projects become financeable and investor-ready.,TA value varies by project; financing sought varies,Not stated,https://appalachiancommunitycapitalcdfi.org/opportunity-appalachia,2026-06-09,RERC-FND-0271
Funding,Community Facilities Loans,Communities Unlimited,Open when checked,Rolling loan inquiry,Multi-State,,,Rural communities; tribal nations; community facility borrowers,Mixed,rural facilities; community infrastructure; local food; public health; equipment,"Can finance community facilities, markets, food systems, and public-facing assets that support rural recreation destinations.","Can finance community facilities, markets, food systems, and public-facing assets that support rural recreation destinations.",Varies,Repayment required,https://communitiesu.org/lending/community-facilities-loans,2026-06-09,RERC-FND-0259
Funding,Business Loans,Craft3,Open when checked,Rolling business loan inquiry,Multi-State,,,Businesses and nonprofits unable to access traditional financing,Mixed,rural economies; Tribal economies; business expansion; bridge financing,"Supports rural and Tribal recreation-economy businesses, nonprofits, and bridge financing for community projects.","Supports rural and Tribal recreation-economy businesses, nonprofits, and bridge financing for community projects.",Varies; $714 million in loans made historically,Repayment required,https://www.craft3.org/get-started,2026-06-09,RERC-FND-0255
Funding,Duke Energy Foundation Grants,Duke Energy Foundation,Open when checked,"Rolling for grants $20,000 and less",Multi-State,,,Eligible nonprofits after state contact discussion,Implementation,"community revitalization, local economic development, climate resiliency, environment","Rural gateway towns can align downtown revitalization, trails, parks, and resilience work with foundation priorities.","Rural gateway towns can align downtown revitalization, trails, parks, and resilience work with foundation priorities.","Rolling requests of $20,000 or less",No match stated,https://foundation.duke-energy.com/grants,2026-06-09,RERC-FND-0263
Funding,Community Relations and Foundation Grants,Eversource Energy Foundation / Eversource Community Relations,Recurring,Requests at least 90 days before program/event,Multi-State,,,Nonprofits and community organizations in service territory,Mixed,"environment, public safety, education, community wellness","Small rural nonprofits can fund public safety, environmental, and community events that support recreation destinations.","Small rural nonprofits can fund public safety, environmental, and community events that support recreation destinations.","Community grants often $500-$2,500; foundation sponsorships vary",No match stated,https://www.eversource.com/residential/about/community/supporting-the-community/community-relations,2026-06-09,RERC-FND-0260
Funding,Business Retrofits and Food Service Equipment,Idaho Power,Open when checked,Ongoing,Multi-State,,,Idaho Power business customers,Mixed,"foodservice, retrofits, refrigeration, business equipment","Rural cafes, lodges, and visitor-serving businesses can lower energy costs with equipment upgrades.","Rural cafes, lodges, and visitor-serving businesses can lower energy costs with equipment upgrades.",Measure-specific,Customer pays remaining cost,https://www.idahopower.com/energy-environment/ways-to-save/savings-for-your-business/retrofits/food-service-equipment-oregon,2026-06-09,RERC-FND-0256
Funding,Invest Appalachia Fund,Invest Appalachia,Recurring,Rolling project inquiry,Multi-State,,,Businesses; nonprofits; real estate projects; intermediaries; community facilities,Mixed,creative placemaking; outdoor recreation; downtown redevelopment; asset-based tourism,"Directly names creative placemaking, outdoor recreation, main street business, and asset-based tourism as focus areas.","Directly names creative placemaking, outdoor recreation, main street business, and asset-based tourism as focus areas.","$100,000-$3,000,000 with exceptions",Repayable capital; co-investment commonly expected,https://investappalachia.org/our-work/invest-appalachia-fund,2026-06-09,RERC-FND-0266
Funding,National Coastal Zone Management Program,NOAA Office for Coastal Management,Recurring,See program for current cycle,Multi-State,,,Approved coastal management programs and eligible local or project partners.,Planning,coastal access; public access; habitat; hazards; planning; water quality,"Supports coastal planning, public access, habitat protection, hazard resilience, water quality, and responsible coastal development.",May support rural community goals related to coastal access and public access. Confirm current eligibility and project fit with the program.,Federal and partner funding varies by state or territory program.,See program,https://coast.noaa.gov/czm/about,2026-06-24,RERC-FND-0268
Funding,Coral Reef Stewardship Fund,National Fish and Wildlife Foundation,Recurring,The 2026 request for proposals is closed; monitor the program information for the next cycle.,Multi-State,,,"Eligible conservation organizations, agencies, universities, and project partners listed in each request for proposals.",Implementation,coral reefs; conservation; watershed; restoration; coastal resilience,"Supports coral reef stewardship, watershed work, restoration, and conservation partnerships in priority reef geographies.",May support rural community goals related to coral reefs and conservation. Confirm current eligibility and project fit with the program.,Award amounts vary by annual request for proposals.,See program,https://www.nfwf.org/programs/coral-reef-stewardship-fund,2026-06-24,RERC-FND-0261
Funding,"Neil and Louise Tillotson Fund Local, Large, and DASH Grants",New Hampshire Charitable Foundation,Open when checked,"Local deadline July 16, 2026; large grants rolling with October 15, 2026 final submission; DASH final December 3, 2026",Multi-State,,,Eligible nonprofits and community organizations,Mixed,sustainable community development; economic development; North Country vitality,"Strong fit for northern rural towns using outdoor recreation, culture, and local enterprise for community vitality.","Strong fit for northern rural towns using outdoor recreation, culture, and local enterprise for community vitality.","Local grants $20,000 or less; large grants $20,000-$300,000; DASH varies",Not stated,https://www.nhcf.org/how-can-we-help-you/apply-for-a-grant,2026-06-09,RERC-FND-0270
Funding,Commercial Rebates and Custom Efficiency Grants,Otter Tail Power Company,Open when checked,2026 forms and ongoing programs,Multi-State,,,Commercial customers,Mixed,"commercial kitchens, EV charging, motors, turnkey efficiency","Small-town hospitality, restaurants, and public recreation facilities can target practical retrofits.","Small-town hospitality, restaurants, and public recreation facilities can target practical retrofits.",Measure-specific; custom efficiency grants available,Customer pays remaining cost,https://www.otpco.com/rebates-and-efficiency-programs/programs/rebates-commercial,2026-06-09,RERC-FND-0258
Funding,Empowering Community Grants,PPL Foundation,Recurring,2026 cycles per portal/booklet,Multi-State,,,501(c)(3) nonprofits,Implementation,"community vitality, resilience, sustainability, education","Rural nonprofits can seek support for community vitality, resilience, and sustainability projects.","Rural nonprofits can seek support for community vitality, resilience, and sustainability projects.","$2,500-$20,000; $1.5M annual foundation grants",No match stated,https://www.pplweb.com/communities/ppl-foundation/community-grants,2026-06-09,RERC-FND-0264
Funding,Neighborhood Partners Program,PSEG Foundation,Open when checked,2026-06-01 to 2026-06-30,Multi-State,,,Eligible nonprofits,Mixed,"environmental sustainability, economic mobility, community wellbeing, workforce","Rural and edge communities can fund sustainability, workforce, and community support projects that keep visitor areas viable.","Rural and edge communities can fund sustainability, workforce, and community support projects that keep visitor areas viable.","$500-$15,000; $1.2M total",No match stated,https://corporate.pseg.com/corporatecitizenship/nonprofit-grants/neighborhoodpartnersprogram,2026-06-09,RERC-FND-0269
